0,1,2,3,4,5,6,7,8
000096,广聚能源,10.01,0.0036,1.3197,1.0,0.60898,0.7160970361,0.852
000099,中信海直,-2.3,0.0533,0.8131999999999999,1.0035270480234215,0.3049372,0.6327947420000001,0.872
000100,TCL科技,-2.07,0.0287,0.43579999999999997,0.9985575483942797,0.3956264,0.6204555235,0.696
000151,中成股份,0.67,0.0229,-0.2397,0.994149457728751,0.2801184,0.5422435017,0.684
000153,丰原药业,-1.29,0.0371,0.1444,0.9979546235114755,0.2294436,0.5725427758,0.664
000155,川能动力,-2.42,0.0166,0.248,1.0070836626140072,0.2885584,0.6439114355,0.772
000156,华数传媒,-2.15,0.020499999999999997,0.324,1.0024482417526832,0.2262644,0.6161273537999999,0.82
000157,中联重科,6.56,0.030600000000000002,0.1684,0.9923024381498768,0.388576,0.7982790298000001,0.92
000158,常山北明,2.12,0.1567,-1.1794,0.9984301178069669,0.3434268,0.6494636002999999,0.9159999999999999
000159,国际实业,1.08,0.0347,-0.045,0.9883081275620568,0.2741968,0.5846788836000001,0.648
000166,申万宏源,0.57,0.0062,0.2571,0.993789124326186,0.4206676,0.6993953544,0.76
000301,东方盛虹,2.3,0.0032,-0.3267,0.99321085359123,0.2028536,0.6726745246,0.7040000000000001
000333,美的集团,3.37,0.0095,0.1313,0.9938785961102098,0.43199,0.7735066548,0.8320000000000001
000338,潍柴动力,1.65,0.023799999999999998,0.125,0.9955044276149626,0.4237648,0.7716613116000001,0.892
000400,许继电气,-0.61,0.0173,0.20809999999999998,0.9975441917651888,0.3171832,0.6766966428000001,0.748
000401,冀东水泥,0.0,0.0064,-0.3258,0.9988876039839175,0.1601136,0.5853686105,0.7040000000000001
000402,金 融 街,0.32,0.012199999999999999,-0.027200000000000002,0.9976943279958991,0.3810328,0.5689530963,0.6559999999999999
000403,派林生物,-0.05,0.0076,0.21170000000000003,0.9997885128305489,0.3331096,0.7250772424999999,0.664
000404,长虹华意,-0.68,0.0163,0.1011,0.9969528758612637,0.1981224,0.6676345986,0.6920000000000001
000407,胜利股份,-0.31,0.010700000000000001,0.1955,0.9964184760686153,0.2231736,0.5941504817,0.624
000408,藏格矿业,-0.28,0.0048,0.207,0.9930948129506438,0.349502181818,0.6679231066,0.74
000409,云鼎科技,1.57,0.0955,0.6523,1.0012068549816604,0.3186576,0.7557857626000001,0.7879999999999999
000410,沈阳机床,-2.4,0.0151,-0.8694,1.0054064252813584,0.2855796,0.510809829,0.7559999999999999
000411,英特集团,0.66,0.0144,0.1185,0.9905459770041899,0.2469088,0.6964477906000001,0.688
000415,渤海租赁,-1.4,0.0202,0.1024,1.0028558318396013,0.328328,0.6463011086999999,0.664
